,Gas Value,Calldata Length,Ratio of Dataset,Additive Ratio,Type,Alpha Gamma Parameter,Beta Gamma Parameter,Mu Lognormal Parameter,Cov Lognormal Parameter
0,21000,0,0.266,0.266,Point,NaN,NaN,NaN,NaN
1,250000,0,0.023,0.289,Point,NaN,NaN,NaN,NaN
2,250000,136,0.03,0.319,Point,NaN,NaN,NaN,NaN
3,207128,0,0.022,0.341,Point,NaN,NaN,NaN,NaN
4,NaN,0,0.064067806,0.405067806,CDDistribution,0.425880401,6.64E-06,NaN,NaN
5,NaN,8,0.02416988,0.429237687,CDDistribution,0.28114604,1.16E-06,NaN,NaN
6,NaN,72,0.055076046,0.484313733,CDDistribution,0.238242768,1.07E-06,NaN,NaN
7,NaN,136,0.231568586,0.715882318,CDDistribution,0.376983653,2.64E-06,NaN,NaN
8,NaN,200,0.03909883,0.754981148,CDDistribution,0.733643356,6.17E-06,NaN,NaN
9,NaN,456,0.016200603,0.771181751,CDDistribution,1.669266497,5.00E-06,NaN,NaN
10,NaN,520,0.01645407,0.787635822,CDDistribution,0.457751192,1.38E-06,NaN,NaN
11,NaN,840,0.021501987,0.809137808,CDDistribution,2.019985245,8.08E-06,NaN,NaN
12,NaN,4808,0.026988107,0.836125915,CDDistribution,0.970123007,3.51E-06,NaN,NaN
13,NaN,5832,0.0257895,0.861915415,CDDistribution,21.08300778,7.47E-05,NaN,NaN
15,NaN,NaN,NaN,1,Remaining,NaN,NaN,"[12.338084799451938, 7.007273532620562]","[[0.64162943,0.15907817],[0.15907817,0.88078228]]"